Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
311.0,1242.012,1242.03,1242.012,1.0,1242.012,1242.03,,1.0,,1242.012,1242.03,22.0,3.75,2.0,22.0,17.1842,1.0,182178.5897,17.9857,,,,5.0,2.0
312.0,1242.83,1242.847,1242.83,1.0,1242.83,1242.847,,1.0,,1242.83,1242.847,23.0,2.75,1.5,23.0,18.002,0.0,182179.4074,18.8034,,,,5.0,2.0
313.0,1243.647,1243.664,1243.647,1.0,1243.647,1243.664,,1.0,,1243.647,1243.664,24.0,3.25,1.75,24.0,18.8193,1.0,182180.2248,19.6207,,,,5.0,2.0
314.0,1244.465,1244.481,1244.465,1.0,1244.465,1244.481,,1.0,,1244.465,1244.481,25.0,2.5,3.0,25.0,19.6366,0.0,182181.0422,20.4381,,,,5.0,2.0
315.0,1245.282,1245.299,1245.282,1.0,1245.282,1245.299,,1.0,,1245.282,1245.299,26.0,3.5,3.75,26.0,20.4541,1.0,182181.8597,21.2556,,,,5.0,2.0
316.0,1246.1,1246.116,1246.1,1.0,1246.1,1246.116,,1.0,,1246.1,1246.116,27.0,2.5,1.25,27.0,21.2716,1.0,182182.6769,22.0728,,,,5.0,2.0
317.0,1246.917,1246.934,1246.917,1.0,1246.917,1246.934,,1.0,,1246.917,1246.934,28.0,1.25,1.75,28.0,22.0892,1.0,182183.4947,22.8906,,,,5.0,2.0
318.0,1247.734,1247.751,1247.734,1.0,1247.734,1247.751,,1.0,,1247.734,1247.751,29.0,3.5,1.75,29.0,22.9065,0.0,182184.3114,23.7073,,,,5.0,2.0
319.0,1248.552,1248.569,1248.552,1.0,1248.552,1248.569,,1.0,,1248.552,1248.569,30.0,3.25,1.5,30.0,23.7241,0.0,182185.129,24.5249,,,,5.0,2.0
320.0,1249.37,1249.387,1249.37,1.0,1249.37,1249.387,,1.0,,1249.37,1249.387,31.0,3.75,2.0,31.0,24.5417,1.0,182185.9473,25.3432,,,,5.0,2.0
